name,file,n_points,chi2,chi2_over_n,Vmax_kms,Rmax_kpc
UGC02953,UGC02953_rotmod.dat,115,97478.977391,847.643282,319.000000,62.390000
NGC2403,NGC2403_rotmod.dat,73,72725.851383,996.244539,136.000000,20.870000
UGC06787,UGC06787_rotmod.dat,71,42346.952401,596.435949,276.000000,37.190000
UGC06786,UGC06786_rotmod.dat,45,23052.439958,512.276444,229.000000,34.050000
UGC02487,UGC02487_rotmod.dat,17,16201.096729,953.005690,383.000000,80.380000
NGC2841,NGC2841_rotmod.dat,50,12763.674330,255.273487,323.000000,63.640000
NGC5985,NGC5985_rotmod.dat,33,12185.922969,369.270393,305.000000,34.720000
UGC00128,UGC00128_rotmod.dat,22,8658.463139,393.566506,134.000000,53.750000
UGC09133,UGC09133_rotmod.dat,68,7311.749427,107.525727,289.000000,108.310000
UGC11914,UGC11914_rotmod.dat,65,6605.128083,101.617355,305.000000,9.830000
UGC05253,UGC05253_rotmod.dat,73,6460.577924,88.501067,248.000000,53.290000
UGC03205,UGC03205_rotmod.dat,48,6028.419201,125.592067,237.000000,40.040000
NGC6015,NGC6015_rotmod.dat,44,5923.847139,134.632890,166.000000,29.230000
NGC2903,NGC2903_rotmod.dat,34,5825.283117,171.331856,216.000000,24.960000
UGC05764,UGC05764_rotmod.dat,10,5681.995710,568.199571,55.800000,3.620000
NGC6503,NGC6503_rotmod.dat,31,5593.448003,180.433807,121.000000,23.500000
NGC6674,NGC6674_rotmod.dat,15,5496.510125,366.434008,291.000000,72.410000
UGC03546,UGC03546_rotmod.dat,30,5222.148712,174.071624,262.000000,29.230000
NGC5033,NGC5033_rotmod.dat,22,4370.153922,198.643360,225.000000,44.590000
NGC5055,NGC5055_rotmod.dat,28,3824.043711,136.572990,206.000000,54.590000
ESO563-G021,ESO563-G021_rotmod.dat,30,3546.786455,118.226215,321.000000,42.410000
NGC3198,NGC3198_rotmod.dat,43,3156.472129,73.406329,157.000000,44.080000
IC2574,IC2574_rotmod.dat,34,3106.499960,91.367646,67.500000,10.230000
UGC03580,UGC03580_rotmod.dat,47,2748.896027,58.487150,131.000000,27.060000
UGC02916,UGC02916_rotmod.dat,43,2647.443033,61.568443,218.000000,38.000000
NGC5907,NGC5907_rotmod.dat,19,2592.889320,136.467859,235.000000,50.330000
NGC7814,NGC7814_rotmod.dat,18,2573.116491,142.950916,265.000000,19.530000
UGC05716,UGC05716_rotmod.dat,12,2177.356285,181.446357,74.700000,12.370000
IC4202,IC4202_rotmod.dat,32,2140.064211,66.877007,250.000000,25.900000
UGC08699,UGC08699_rotmod.dat,41,1851.767344,45.165057,202.000000,25.700000
UGC08286,UGC08286_rotmod.dat,17,1775.091868,104.417169,84.300000,8.040000
UGC05986,UGC05986_rotmod.dat,15,1722.604838,114.840323,116.000000,9.410000
ESO079-G014,ESO079-G014_rotmod.dat,15,1493.696853,99.579790,178.000000,16.670000
UGC07399,UGC07399_rotmod.dat,10,1476.167982,147.616798,106.000000,6.130000
UGC02259,UGC02259_rotmod.dat,8,1350.829673,168.853709,90.000000,8.140000
NGC0247,NGC0247_rotmod.dat,26,1294.605134,49.792505,108.000000,14.540000
ESO116-G012,ESO116-G012_rotmod.dat,15,1206.488781,80.432585,112.000000,9.860000
NGC7331,NGC7331_rotmod.dat,36,1157.280622,32.146684,257.000000,36.310000
DDO154,DDO154_rotmod.dat,12,892.281225,74.356769,48.200000,5.920000
NGC2998,NGC2998_rotmod.dat,13,872.472015,67.113232,214.000000,42.280000
DDO161,DDO161_rotmod.dat,31,855.669613,27.602246,67.500000,13.370000
NGC4100,NGC4100_rotmod.dat,24,837.551041,34.897960,195.000000,22.760000
NGC4217,NGC4217_rotmod.dat,19,819.423342,43.127544,191.000000,16.720000
F571-8,F571-8_rotmod.dat,13,813.850523,62.603886,144.000000,15.550000
UGC06973,UGC06973_rotmod.dat,9,800.688800,88.965422,180.000000,7.850000
UGC12506,UGC12506_rotmod.dat,31,799.250623,25.782278,255.000000,49.990000
UGC08490,UGC08490_rotmod.dat,30,797.286500,26.576217,80.100000,10.150000
NGC0024,NGC0024_rotmod.dat,29,786.603141,27.124246,110.000000,11.270000
NGC6946,NGC6946_rotmod.dat,58,783.726028,13.512518,181.000000,20.400000
UGC05721,UGC05721_rotmod.dat,23,669.421436,29.105280,82.600000,6.740000
NGC3992,NGC3992_rotmod.dat,9,664.889141,73.876571,272.000000,46.020000
UGC04325,UGC04325_rotmod.dat,8,660.337275,82.542159,92.700000,5.590000
NGC0891,NGC0891_rotmod.dat,18,644.128568,35.784920,234.000000,17.110000
UGC04305,UGC04305_rotmod.dat,22,630.755978,28.670726,37.300000,5.520000
NGC5585,NGC5585_rotmod.dat,24,621.893299,25.912221,92.300000,10.960000
UGC07125,UGC07125_rotmod.dat,13,591.296924,45.484379,65.600000,18.680000
NGC0300,NGC0300_rotmod.dat,25,555.426462,22.217058,97.000000,11.800000
NGC4013,NGC4013_rotmod.dat,36,533.738592,14.826072,198.000000,31.010000
NGC3917,NGC3917_rotmod.dat,17,532.533960,31.325527,138.000000,14.860000
CamB,CamB_rotmod.dat,9,527.339503,58.593278,20.100000,1.790000
UGC11455,UGC11455_rotmod.dat,36,526.256011,14.618223,291.000000,41.930000
UGC02455,UGC02455_rotmod.dat,8,519.275171,64.909396,61.000000,4.030000
ESO444-G084,ESO444-G084_rotmod.dat,7,492.518489,70.359784,63.100000,4.440000
UGC02885,UGC02885_rotmod.dat,19,490.164624,25.798138,305.000000,74.070000
UGC00191,UGC00191_rotmod.dat,9,475.120166,52.791130,83.850000,9.980000
NGC1003,NGC1003_rotmod.dat,36,473.723684,13.158991,115.000000,30.240000
UGC06667,UGC06667_rotmod.dat,9,469.160149,52.128905,85.700000,7.850000
NGC1705,NGC1705_rotmod.dat,14,465.187156,33.227654,73.200000,6.000000
PGC51017,PGC51017_rotmod.dat,6,430.859899,71.809983,20.500000,3.630000
NGC2915,NGC2915_rotmod.dat,30,395.084872,13.169496,86.500000,10.040000
NGC1090,NGC1090_rotmod.dat,24,390.562911,16.273455,176.000000,30.090000
UGC06983,UGC06983_rotmod.dat,17,389.813704,22.930218,113.000000,15.680000
NGC5371,NGC5371_rotmod.dat,19,335.176286,17.640857,242.000000,46.240000
NGC3109,NGC3109_rotmod.dat,25,328.618775,13.144751,67.300000,6.450000
UGC06446,UGC06446_rotmod.dat,17,320.352541,18.844267,84.900000,10.220000
UGC07603,UGC07603_rotmod.dat,12,297.753334,24.812778,64.000000,4.110000
F568-V1,F568-V1_rotmod.dat,15,264.210591,17.614039,118.000000,17.630000
NGC0289,NGC0289_rotmod.dat,28,263.246069,9.401645,194.000000,71.120000
UGC06917,UGC06917_rotmod.dat,11,262.967415,23.906129,111.000000,10.470000
F574-1,F574-1_rotmod.dat,14,255.437964,18.245569,99.700000,12.600000
DDO170,DDO170_rotmod.dat,8,247.951375,30.993922,62.200000,12.330000
UGC04278,UGC04278_rotmod.dat,25,246.620858,9.864834,92.800000,6.690000
UGC00731,UGC00731_rotmod.dat,12,231.427246,19.285604,74.000000,10.910000
UGC08550,UGC08550_rotmod.dat,11,227.512593,20.682963,57.800000,5.360000
UGC09037,UGC09037_rotmod.dat,22,223.839098,10.174504,160.000000,27.960000
NGC4214,NGC4214_rotmod.dat,14,221.525466,15.823248,80.600000,5.630000
NGC3972,NGC3972_rotmod.dat,10,219.546634,21.954663,134.000000,8.720000
NGC4389,NGC4389_rotmod.dat,6,187.275736,31.212623,110.000000,5.320000
UGC07151,UGC07151_rotmod.dat,11,179.018288,16.274390,76.200000,5.500000
F568-1,F568-1_rotmod.dat,12,178.131425,14.844285,142.000000,13.230000
F583-1,F583-1_rotmod.dat,25,171.760308,6.870412,86.900000,16.260000
UGC12732,UGC12732_rotmod.dat,16,167.651639,10.478227,98.000000,15.400000
NGC3521,NGC3521_rotmod.dat,41,161.554173,3.940346,220.000000,17.740000
UGC07524,UGC07524_rotmod.dat,31,159.158374,5.134141,83.800000,10.690000
UGC00891,UGC00891_rotmod.dat,5,157.168568,31.433714,63.750000,7.390000
NGC4183,NGC4183_rotmod.dat,23,148.510778,6.456990,115.000000,21.020000
D631-7,D631-7_rotmod.dat,16,142.021726,8.876358,58.500000,7.190000
DDO168,DDO168_rotmod.dat,10,137.753893,13.775389,55.000000,4.120000
NGC7793,NGC7793_rotmod.dat,46,134.552682,2.925058,116.000000,7.870000
KK98-251,KK98-251_rotmod.dat,15,132.737010,8.849134,34.600000,3.130000
NGC3893,NGC3893_rotmod.dat,10,124.318732,12.431873,194.000000,19.050000
NGC2955,NGC2955_rotmod.dat,24,123.537172,5.147382,276.000000,35.430000
F579-V1,F579-V1_rotmod.dat,14,122.025218,8.716087,114.000000,15.160000
F563-V1,F563-V1_rotmod.dat,6,121.529744,20.254957,29.500000,7.870000
NGC2683,NGC2683_rotmod.dat,11,119.180080,10.834553,212.000000,34.620000
UGCA442,UGCA442_rotmod.dat,8,118.322546,14.790318,57.800000,6.330000
NGC0100,NGC0100_rotmod.dat,21,113.048031,5.383240,91.200000,9.620000
NGC6195,NGC6195_rotmod.dat,23,110.147276,4.789012,258.000000,36.430000
NGC3953,NGC3953_rotmod.dat,8,109.171383,13.646423,224.000000,15.680000
UGC06399,UGC06399_rotmod.dat,9,101.314840,11.257204,87.600000,7.850000
NGC3877,NGC3877_rotmod.dat,13,99.975868,7.690451,171.000000,11.350000
F563-1,F563-1_rotmod.dat,17,99.926654,5.878038,112.500000,20.100000
NGC4010,NGC4010_rotmod.dat,12,99.251070,8.270923,129.000000,10.470000
UGC08837,UGC08837_rotmod.dat,8,91.848145,11.481018,48.000000,4.200000
UGC12632,UGC12632_rotmod.dat,15,90.187853,6.012524,73.200000,10.660000
UGC07577,UGC07577_rotmod.dat,9,90.053951,10.005995,17.800000,1.690000
F563-V2,F563-V2_rotmod.dat,10,88.476158,8.847616,118.000000,10.470000
F561-1,F561-1_rotmod.dat,6,87.490093,14.581682,50.400000,9.660000
NGC4088,NGC4088_rotmod.dat,12,86.839428,7.236619,182.000000,21.480000
F568-3,F568-3_rotmod.dat,18,79.173492,4.398527,120.000000,17.980000
NGC0801,NGC0801_rotmod.dat,13,78.633474,6.048729,238.000000,59.820000
NGC2366,NGC2366_rotmod.dat,26,74.716966,2.873729,53.700000,6.060000
D564-8,D564-8_rotmod.dat,6,71.148110,11.858018,25.000000,3.070000
UGC11557,UGC11557_rotmod.dat,12,69.265953,5.772163,85.000000,10.560000
NGC4559,NGC4559_rotmod.dat,32,68.765444,2.148920,124.000000,20.970000
UGC11820,UGC11820_rotmod.dat,10,65.181311,6.518131,84.450000,15.820000
NGC2976,NGC2976_rotmod.dat,27,61.992089,2.296003,88.700000,2.270000
F574-2,F574-2_rotmod.dat,5,61.394327,12.278865,40.000000,10.830000
NGC0055,NGC0055_rotmod.dat,21,60.948047,2.902288,87.400000,13.500000
NGC3741,NGC3741_rotmod.dat,21,55.262173,2.631532,51.600000,7.000000
UGC06930,UGC06930_rotmod.dat,10,51.570182,5.157018,109.000000,16.610000
UGC01230,UGC01230_rotmod.dat,11,48.026516,4.366047,113.000000,36.540000
NGC4157,NGC4157_rotmod.dat,17,47.608338,2.800490,201.000000,29.610000
NGC3769,NGC3769_rotmod.dat,12,46.187309,3.848942,126.000000,37.160000
UGC06628,UGC06628_rotmod.dat,7,45.141916,6.448845,42.300000,7.690000
NGC4085,NGC4085_rotmod.dat,7,39.707539,5.672506,136.000000,6.200000
NGC4138,NGC4138_rotmod.dat,7,38.007575,5.429654,195.000000,18.580000
UGC01281,UGC01281_rotmod.dat,23,37.001889,1.608778,56.900000,4.990000
UGC06614,UGC06614_rotmod.dat,13,35.837776,2.756752,205.000000,64.590000
F565-V2,F565-V2_rotmod.dat,7,34.724495,4.960642,83.100000,8.800000
UGC07608,UGC07608_rotmod.dat,8,34.629323,4.328665,69.300000,4.780000
UGC04499,UGC04499_rotmod.dat,9,32.407189,3.600799,74.300000,8.180000
UGC07261,UGC07261_rotmod.dat,7,31.608153,4.515450,76.100000,6.670000
NGC3726,NGC3726_rotmod.dat,12,28.717564,2.393130,169.000000,32.520000
UGC06818,UGC06818_rotmod.dat,8,28.165512,3.520689,74.400000,6.980000
NGC4068,NGC4068_rotmod.dat,6,25.416110,4.236018,41.900000,2.330000
UGC10310,UGC10310_rotmod.dat,7,22.294588,3.184941,73.200000,7.740000
UGC07690,UGC07690_rotmod.dat,7,22.058852,3.151265,60.700000,4.130000
NGC5005,NGC5005_rotmod.dat,18,20.961409,1.164523,265.000000,11.470000
UGC06923,UGC06923_rotmod.dat,6,20.314584,3.385764,81.100000,5.160000
UGC07323,UGC07323_rotmod.dat,10,18.025372,1.802537,85.600000,5.820000
UGC07559,UGC07559_rotmod.dat,7,16.974243,2.424892,32.100000,2.530000
UGC05999,UGC05999_rotmod.dat,5,16.596491,3.319298,100.000000,16.220000
DDO064,DDO064_rotmod.dat,14,14.824526,1.058895,46.900000,2.980000
F583-4,F583-4_rotmod.dat,12,12.198046,1.016504,69.900000,7.290000
UGC09992,UGC09992_rotmod.dat,5,10.832106,2.166421,34.300000,3.890000
UGCA281,UGCA281_rotmod.dat,7,10.689776,1.527111,29.500000,1.080000
UGC05750,UGC05750_rotmod.dat,11,9.969114,0.906283,78.900000,22.850000
F567-2,F567-2_rotmod.dat,5,9.115116,1.823023,52.200000,9.590000
UGC05414,UGC05414_rotmod.dat,6,9.016703,1.502784,61.400000,4.110000
NGC4051,NGC4051_rotmod.dat,7,8.211808,1.173115,161.000000,12.190000
F571-V1,F571-V1_rotmod.dat,7,8.061523,1.151646,84.300000,13.590000
UGC04483,UGC04483_rotmod.dat,8,7.321610,0.915201,24.300000,1.210000
UGC05918,UGC05918_rotmod.dat,8,6.431532,0.803941,44.500000,4.460000
NGC3949,NGC3949_rotmod.dat,7,6.107990,0.872570,169.000000,7.070000
UGC07089,UGC07089_rotmod.dat,12,6.056997,0.504750,79.100000,9.160000
UGCA444,UGCA444_rotmod.dat,36,3.553023,0.098695,38.300000,2.620000
UGC07866,UGC07866_rotmod.dat,7,3.398956,0.485565,33.100000,2.320000
UGC05829,UGC05829_rotmod.dat,11,3.377984,0.307089,68.600000,6.910000
UGC05005,UGC05005_rotmod.dat,11,2.968886,0.269899,100.000000,28.610000
UGC02023,UGC02023_rotmod.dat,5,2.902277,0.580455,58.800000,3.780000
